winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
0,111,77,116,131,3,"[0, 0, 0, 0]","[10, 11, 0, 15]","[13, 11, 0, 12]","[0, 0, 12, 10]","[12, 12, 0, 12]","[0, 0, 12, 0]","[10, 13, 11, 0]","[0, 0, 10, 10]","[10, 0, 10, 0]","[0, 10, 11, 10]","[11, 10, 0, 11]","[10, 10, 0, 0]","[11, 0, 0, 0]","[0, 10, 0, 11]","[11, 10, 0, 11]","[11, 0, 0, 0]","[11, 0, 11, 14]","[0, 14, 0, 0]","[11, 0, 0, 0]"
3,115,122,148,127,0,"[10, 0, 0, 16]","[0, 13, 15, 10]","[12, 12, 0, 13]","[11, 11, 12, 0]","[0, 0, 12, 0]","[10, 0, 0, 11]","[0, 0, 11, 0]","[0, 10, 12, 10]","[0, 11, 11, 10]","[10, 0, 10, 10]","[10, 0, 10, 10]","[10, 10, 0, 11]","[0, 13, 0, 10]","[0, 0, 0, 11]","[11, 12, 0, 0]","[12, 12, 0, 13]","[10, 11, 0, 0]","[10, 0, 14, 13]","[11, 0, 15, 0]"
0,121,109,137,144,1,"[13, 0, 12, 12]","[0, 11, 0, 12]","[0, 11, 0, 0]","[12, 11, 0, 12]","[11, 0, 0, 10]","[11, 0, 11, 12]","[10, 0, 11, 12]","[0, 10, 11, 12]","[10, 0, 0, 10]","[10, 10, 10, 0]","[10, 10, 11, 0]","[0, 0, 11, 10]","[10, 0, 10, 12]","[11, 11, 0, 12]","[0, 11, 0, 0]","[11, 12, 12, 0]","[0, 13, 0, 11]","[11, 0, 10, 0]","[14, 11, 0, 0]"
3,123,128,132,131,2,"[0, 13, 0, 0]","[0, 0, 12, 11]","[11, 0, 14, 10]","[10, 14, 0, 0]","[12, 12, 0, 10]","[10, 0, 0, 10]","[0, 10, 10, 13]","[10, 0, 0, 0]","[11, 10, 0, 10]","[0, 10, 10, 10]","[0, 11, 10, 10]","[0, 11, 11, 10]","[10, 11, 0, 0]","[13, 10, 12, 0]","[0, 11, 0, 0]","[10, 0, 12, 12]","[11, 0, 12, 0]","[11, 0, 12, 15]","[12, 0, 13, 11]"
2,90,146,111,106,3,"[0, 0, 12, 0]","[0, 0, 12, 10]","[0, 0, 12, 0]","[12, 10, 0, 14]","[12, 0, 12, 10]","[0, 0, 0, 11]","[0, 14, 10, 0]","[11, 0, 12, 10]","[10, 11, 11, 0]","[10, 10, 10, 0]","[0, 0, 0, 11]","[0, 0, 0, 10]","[0, 11, 10, 11]","[10, 10, 11, 0]","[12, 0, 11, 11]","[0, 14, 0, 0]","[0, 0, 0, 0]","[16, 10, 12, 0]","[13, 0, 11, 13]"
0,117,136,135,159,0,"[13, 10, 13, 0]","[12, 11, 12, 0]","[0, 11, 0, 10]","[12, 11, 13, 0]","[11, 0, 10, 11]","[12, 11, 0, 11]","[0, 0, 11, 0]","[10, 10, 0, 0]","[0, 11, 10, 10]","[10, 11, 0, 10]","[11, 10, 0, 10]","[10, 0, 10, 11]","[10, 0, 10, 0]","[12, 10, 0, 12]","[13, 0, 11, 10]","[10, 11, 0, 15]","[0, 0, 11, 0]","[0, 0, 12, 12]","[13, 0, 13, 13]"
0,72,136,124,139,1,"[13, 0, 12, 14]","[0, 0, 14, 12]","[13, 0, 0, 0]","[0, 13, 11, 0]","[0, 12, 10, 0]","[11, 0, 13, 10]","[12, 10, 11, 0]","[10, 11, 0, 10]","[11, 0, 10, 11]","[10, 11, 0, 10]","[11, 0, 10, 10]","[0, 0, 10, 10]","[10, 0, 12, 10]","[0, 0, 0, 12]","[13, 0, 0, 0]","[0, 0, 0, 0]","[13, 0, 0, 0]","[0, 15, 10, 0]","[12, 0, 13, 15]"
1,141,119,133,114,2,"[0, 14, 0, 12]","[0, 12, 10, 0]","[10, 0, 0, 11]","[13, 0, 12, 11]","[0, 0, 11, 10]","[11, 0, 13, 10]","[11, 0, 10, 13]","[0, 0, 10, 0]","[11, 10, 0, 10]","[10, 11, 10, 0]","[0, 11, 0, 0]","[12, 0, 10, 11]","[0, 11, 0, 0]","[13, 11, 10, 0]","[0, 11, 11, 0]","[11, 12, 0, 11]","[0, 14, 0, 12]","[12, 10, 0, 12]","[0, 14, 12, 10]"
3,100,111,148,95,3,"[0, 0, 0, 11]","[0, 14, 10, 13]","[10, 0, 0, 0]","[11, 0, 0, 13]","[0, 11, 0, 0]","[0, 11, 14, 10]","[10, 0, 0, 10]","[10, 0, 13, 10]","[12, 10, 10, 0]","[0, 11, 10, 10]","[10, 0, 11, 11]","[0, 10, 10, 0]","[10, 0, 0, 0]","[0, 10, 11, 0]","[0, 12, 11, 11]","[0, 11, 0, 12]","[0, 0, 0, 11]","[11, 0, 11, 13]","[11, 0, 0, 13]"
1,141,129,139,113,0,"[13, 11, 0, 14]","[0, 0, 13, 0]","[0, 11, 0, 0]","[0, 0, 0, 0]","[11, 10, 15, 0]","[10, 11, 0, 13]","[0, 10, 11, 12]","[11, 10, 12, 0]","[0, 11, 10, 11]","[0, 10, 10, 10]","[11, 10, 0, 10]","[10, 10, 12, 0]","[11, 0, 10, 11]","[0, 11, 11, 10]","[11, 0, 13, 11]","[0, 0, 0, 12]","[0, 0, 12, 13]","[11, 14, 0, 0]","[14, 12, 0, 12]"
